Using architecture: Tcp persistent caching thread pool with 20 messages per client
M = 10
N = 400
Delta, Sorting Time, Request Time, Client Runtime
0, 0.330, 0.365, 1689.312
2, 0.308, 0.331, 1685.735
4, 0.343, 0.367, 1764.100
6, 0.361, 0.387, 1759.388
8, 0.326, 0.357, 1833.029
10, 0.311, 0.333, 1835.857
12, 0.334, 0.357, 1907.327
14, 0.336, 0.364, 1906.890
16, 0.327, 0.350, 1984.126
18, 0.349, 0.373, 1983.915
20, 0.323, 0.374, 2061.760
22, 0.371, 0.396, 2059.845
24, 0.323, 0.346, 2135.305
26, 0.300, 0.324, 2147.300
28, 0.323, 0.346, 2217.651
30, 0.352, 0.376, 2220.090
32, 0.343, 0.382, 2287.872
34, 0.359, 0.384, 2292.604
36, 0.344, 0.368, 2364.887
38, 0.343, 0.368, 2333.652
40, 0.330, 0.354, 1607.534
42, 0.359, 0.384, 1601.744
44, 0.312, 0.343, 1728.644
46, 0.289, 0.310, 1777.803
48, 0.298, 0.321, 1860.609
50, 0.345, 0.368, 1794.290
