Using architecture: Tcp persistent caching thread pool with 20 messages per client
N = 500
Delta = 2
M, Sorting Time, Request Time, Client Runtime
5, 0.496, 0.525, 1688.868
7, 0.527, 0.558, 1677.273
9, 0.552, 0.583, 1682.329
11, 0.538, 0.587, 1684.026
13, 0.501, 0.532, 1685.307
15, 0.554, 0.586, 1684.119
17, 0.514, 0.543, 1685.972
19, 0.550, 0.581, 1685.506
21, 0.524, 0.554, 1689.699
23, 0.550, 0.585, 1685.414
25, 0.550, 0.582, 1683.202
27, 0.525, 0.557, 1687.814
29, 0.548, 0.580, 1687.143
31, 0.539, 0.576, 1689.629
33, 0.539, 0.570, 1685.460
35, 0.529, 0.566, 1685.040
37, 0.547, 0.579, 1687.535
39, 0.540, 0.573, 1688.059
41, 0.556, 0.590, 1687.223
43, 0.542, 0.576, 1686.244
45, 0.539, 0.572, 1687.962
47, 0.566, 0.602, 1685.728
49, 0.522, 0.559, 1687.823
