Using architecture: Tcp persistent caching thread pool with 20 messages per client
M = 10
Delta = 2
N, Sorting Time, Request Time, Client Runtime
10, 0.001, 0.004, 1685.853
60, 0.010, 0.016, 1686.533
110, 0.031, 0.039, 1681.235
160, 0.055, 0.065, 1686.999
210, 0.100, 0.113, 1689.402
260, 0.130, 0.150, 1691.180
310, 0.202, 0.222, 1682.716
360, 0.263, 0.282, 1679.531
410, 0.319, 0.343, 1695.273
460, 0.473, 0.502, 1688.292
510, 0.538, 0.570, 1688.427
560, 0.635, 0.688, 1683.739
610, 0.740, 0.773, 1685.355
660, 0.806, 0.846, 1689.258
710, 0.979, 1.025, 1692.664
760, 1.143, 1.194, 1680.500
810, 1.049, 1.089, 1684.538
860, 1.389, 1.434, 1680.831
910, 1.325, 1.384, 1688.866
960, 1.584, 1.645, 1683.937
1010, 1.707, 1.757, 1690.653
1060, 1.743, 1.813, 1688.883
1110, 1.933, 1.992, 1698.698
1160, 2.042, 2.095, 1692.972
1210, 2.214, 2.276, 1690.570
1260, 2.389, 2.446, 1696.924
1310, 2.455, 2.514, 1694.371
1360, 2.980, 3.061, 1717.079
1410, 2.939, 3.000, 1712.656
1460, 3.371, 3.439, 1730.129
1510, 3.098, 3.169, 1711.621
1560, 3.428, 3.497, 1723.702
1610, 3.720, 3.801, 1722.012
1660, 3.521, 3.593, 1717.204
1710, 3.936, 4.080, 1727.687
1760, 4.118, 4.222, 1727.064
1810, 4.718, 4.792, 1740.466
1860, 5.500, 5.602, 1767.743
1910, 5.895, 5.976, 1764.356
1960, 5.716, 5.795, 1766.972
