Using architecture: Tcp persistent asynchronous with 20 messages per client
M = 10
N = 400
Delta, Sorting Time, Request Time, Client Runtime
0, 0.353, 0.390, 854.271
2, 0.341, 0.387, 851.589
4, 0.344, 0.371, 919.357
6, 0.353, 0.385, 923.342
8, 0.370, 0.402, 996.516
10, 0.347, 0.378, 997.547
12, 0.345, 0.382, 1072.221
14, 0.334, 0.366, 1077.137
16, 0.352, 0.380, 1147.620
18, 0.356, 0.399, 1155.750
20, 0.325, 0.352, 1224.597
22, 0.309, 0.335, 1227.188
24, 0.344, 0.374, 1299.151
26, 0.381, 0.412, 1296.845
28, 0.360, 0.394, 1376.219
30, 0.327, 0.352, 1383.040
32, 0.341, 0.377, 1448.563
34, 0.323, 0.350, 1452.848
36, 0.336, 0.366, 1527.821
38, 0.355, 0.382, 1526.343
40, 0.355, 0.382, 1598.982
42, 0.351, 0.377, 1605.703
44, 0.374, 0.401, 1675.726
46, 0.350, 0.380, 1682.813
48, 0.362, 0.389, 1755.662
50, 0.372, 0.402, 1756.633
