Using architecture: Tcp persistent asynchronous with 20 messages per client
N = 500
Delta = 2
M, Sorting Time, Request Time, Client Runtime
5, 2.369, 3.695, 945.485
7, 0.473, 0.602, 862.957
9, 0.472, 0.574, 858.370
11, 0.563, 0.637, 853.075
13, 0.550, 0.614, 849.540
15, 0.533, 0.596, 843.664
17, 0.546, 0.608, 848.551
19, 0.498, 0.542, 876.144
21, 0.623, 0.680, 846.512
23, 0.566, 0.657, 852.173
25, 0.587, 0.656, 859.769
27, 0.566, 0.610, 849.785
29, 0.566, 0.618, 861.155
31, 0.580, 0.639, 854.553
33, 0.533, 0.611, 858.018
35, 0.522, 0.561, 859.072
37, 0.559, 0.630, 862.581
39, 0.550, 0.613, 847.424
41, 0.529, 0.584, 854.467
43, 0.616, 0.677, 859.230
45, 0.576, 0.627, 851.304
47, 0.570, 0.651, 851.566
49, 0.590, 0.657, 863.261
