Using architecture: Tcp persistent asynchronous with 20 messages per client
M = 10
Delta = 2
N, Sorting Time, Request Time, Client Runtime
10, 0.001, 0.008, 841.621
60, 0.012, 0.022, 841.842
110, 0.036, 0.048, 840.668
160, 0.079, 0.092, 837.803
210, 0.140, 0.162, 841.868
260, 0.204, 0.228, 842.880
310, 0.297, 0.328, 842.792
360, 0.343, 0.375, 842.568
410, 0.365, 0.390, 844.848
460, 0.562, 0.600, 845.982
510, 0.574, 0.618, 847.497
560, 0.713, 0.767, 852.677
610, 0.852, 0.895, 846.958
660, 0.819, 0.866, 851.287
710, 1.081, 1.136, 854.153
760, 1.109, 1.181, 864.455
810, 1.071, 1.117, 864.982
860, 1.359, 1.425, 881.895
910, 1.322, 1.371, 896.713
960, 1.597, 1.671, 896.151
1010, 1.803, 1.913, 903.547
1060, 2.004, 2.061, 907.930
1110, 2.210, 2.310, 912.037
1160, 2.386, 2.448, 936.860
1210, 2.614, 2.691, 940.872
1260, 2.996, 3.078, 933.992
1310, 2.900, 2.980, 928.754
1360, 3.084, 3.154, 928.838
1410, 3.305, 3.375, 935.110
1460, 3.116, 3.194, 941.689
1510, 3.654, 3.826, 944.279
1560, 3.634, 3.742, 939.180
1610, 4.111, 4.250, 945.735
1660, 3.799, 3.875, 941.538
1710, 3.894, 3.977, 940.166
1760, 5.251, 5.381, 987.083
1810, 5.225, 5.316, 982.879
1860, 7.609, 7.929, 1053.514
1910, 6.716, 6.928, 1020.133
1960, 6.517, 6.615, 1009.039
