Using architecture: Tcp persistent non blocking with 20 messages per client
M = 10
N = 400
Delta, Sorting Time, Request Time, Client Runtime
0, 0.275, 0.707, 855.021
2, 0.268, 0.489, 846.177
4, 0.294, 0.625, 916.360
6, 0.294, 0.545, 918.126
8, 0.293, 0.809, 995.895
10, 0.279, 0.428, 993.091
12, 0.290, 0.687, 1075.866
14, 0.306, 0.848, 1081.909
16, 0.296, 0.907, 1148.085
18, 0.276, 0.508, 1144.850
20, 0.283, 0.509, 1218.923
22, 0.287, 0.650, 1239.982
24, 0.275, 0.442, 1298.326
26, 0.275, 0.472, 1298.714
28, 0.291, 0.694, 1376.914
30, 0.278, 0.476, 1377.254
32, 0.275, 0.445, 1444.909
34, 0.272, 0.487, 1452.839
36, 0.291, 0.436, 1521.357
38, 0.273, 0.579, 1526.986
40, 0.284, 0.849, 1600.891
42, 0.275, 0.531, 1603.287
44, 0.280, 0.468, 1675.493
46, 0.272, 0.520, 1677.555
48, 0.274, 0.647, 1751.418
50, 0.269, 0.504, 1753.571
