Using architecture: Tcp persistent non blocking with 20 messages per client
N = 500
Delta = 2
M, Sorting Time, Request Time, Client Runtime
5, 0.585, 1.254, 870.869
7, 0.406, 0.556, 853.577
9, 0.413, 0.745, 847.320
11, 0.414, 0.717, 851.441
13, 0.426, 0.647, 850.031
15, 0.448, 0.644, 841.463
17, 0.435, 0.754, 851.326
19, 0.466, 0.735, 848.647
21, 0.476, 0.764, 854.099
23, 0.512, 0.952, 860.500
25, 0.529, 1.008, 858.058
27, 0.526, 0.878, 850.985
29, 0.536, 0.962, 851.396
31, 0.511, 1.040, 862.812
33, 0.548, 1.046, 855.648
35, 0.495, 0.986, 854.013
37, 0.476, 1.154, 864.933
39, 0.494, 0.966, 860.488
41, 0.502, 1.085, 867.553
43, 0.520, 0.952, 855.963
45, 0.501, 0.982, 856.674
47, 0.555, 1.504, 878.208
49, 0.505, 1.146, 862.981
