Using architecture: Tcp persistent non blocking with 20 messages per client
M = 10
Delta = 2
N, Sorting Time, Request Time, Client Runtime
10, 0.001, 0.207, 845.170
60, 0.012, 0.089, 843.033
110, 0.030, 0.165, 838.667
160, 0.052, 0.139, 842.894
210, 0.085, 0.181, 839.856
260, 0.129, 0.436, 849.536
310, 0.169, 0.337, 837.876
360, 0.243, 0.560, 844.965
410, 0.295, 0.647, 843.931
460, 0.360, 0.631, 852.320
510, 0.430, 0.626, 842.251
560, 0.563, 0.770, 851.384
610, 0.628, 0.904, 849.768
660, 0.731, 1.027, 853.320
710, 0.790, 0.988, 849.042
760, 0.975, 1.302, 871.237
810, 1.058, 1.456, 869.208
860, 1.272, 1.640, 860.909
910, 1.398, 1.814, 867.902
960, 1.374, 1.949, 870.716
1010, 1.925, 2.923, 912.660
1060, 2.375, 3.127, 924.032
1110, 2.131, 2.866, 916.212
1160, 2.972, 4.250, 963.288
1210, 2.640, 3.292, 923.945
1260, 2.945, 3.825, 944.494
1310, 3.065, 3.696, 937.861
1360, 3.759, 4.707, 953.616
1410, 4.095, 4.953, 957.856
1460, 3.591, 4.111, 944.542
1510, 3.840, 4.407, 945.102
1560, 4.649, 5.346, 958.290
1610, 5.176, 6.404, 995.160
1660, 5.486, 6.642, 997.652
1710, 6.391, 8.507, 1050.935
1760, 4.990, 5.424, 967.427
1810, 9.054, 11.278, 1087.354
1860, 7.452, 9.313, 1055.369
1910, 6.959, 8.069, 1020.590
1960, 6.825, 7.629, 1015.028
