Using architecture: Tcp spawning serial with 20 messages per client
M = 10
N = 400
Delta, Sorting Time, Request Time, Client Runtime
0, 0.382, 0.546, 228.731
2, 0.411, 0.518, 180.196
4, 0.283, 0.327, 141.662
6, 0.230, 0.258, 131.201
8, 0.269, 0.298, 185.826
10, 0.234, 0.270, 214.421
12, 0.213, 0.237, 253.536
14, 0.218, 0.242, 289.379
16, 0.229, 0.252, 324.822
18, 0.222, 0.245, 372.056
20, 0.223, 0.242, 408.571
22, 0.221, 0.239, 447.814
24, 0.232, 0.252, 490.484
26, 0.224, 0.243, 533.381
28, 0.214, 0.230, 561.466
30, 0.214, 0.231, 606.860
32, 0.226, 0.243, 651.297
34, 0.213, 0.231, 677.309
36, 0.214, 0.232, 719.199
38, 0.212, 0.229, 769.773
40, 0.225, 0.243, 794.066
42, 0.231, 0.249, 838.547
44, 0.234, 0.283, 882.728
46, 0.218, 0.234, 924.162
48, 0.230, 0.248, 968.599
50, 0.224, 0.241, 993.411
