Using architecture: Tcp spawning serial with 20 messages per client
N = 500
Delta = 2
M, Sorting Time, Request Time, Client Runtime
5, 0.321, 0.341, 64.757
7, 0.364, 0.393, 71.509
9, 0.281, 0.296, 64.465
11, 0.311, 0.329, 87.494
13, 0.363, 0.383, 129.945
15, 0.345, 0.366, 130.610
17, 0.357, 0.378, 159.948
19, 0.320, 0.336, 139.405
21, 0.394, 0.417, 205.051
23, 0.349, 0.369, 176.726
25, 0.321, 0.339, 190.563
27, 0.286, 0.302, 185.123
29, 0.289, 0.315, 209.412
31, 0.288, 0.304, 216.678
33, 0.284, 0.300, 230.199
35, 0.312, 0.334, 267.502
37, 0.287, 0.303, 255.673
39, 0.291, 0.307, 275.759
41, 0.282, 0.303, 282.215
43, 0.295, 0.311, 303.877
45, 0.255, 0.274, 281.916
47, 0.264, 0.280, 300.968
49, 0.264, 0.284, 314.662
