Using architecture: Tcp spawning serial with 20 messages per client
M = 10
Delta = 2
N, Sorting Time, Request Time, Client Runtime
10, 0.001, 0.002, 45.479
60, 0.010, 0.014, 46.032
110, 0.025, 0.030, 50.433
160, 0.050, 0.058, 49.751
210, 0.082, 0.092, 57.902
260, 0.114, 0.126, 60.183
310, 0.171, 0.205, 76.499
360, 0.194, 0.209, 66.534
410, 0.187, 0.217, 57.785
460, 0.232, 0.246, 59.274
510, 0.275, 0.291, 70.461
560, 0.319, 0.337, 76.586
610, 0.363, 0.393, 85.434
660, 0.426, 0.447, 99.292
710, 0.502, 0.524, 113.857
760, 0.609, 0.639, 140.220
810, 0.658, 0.687, 151.375
860, 0.734, 0.761, 162.147
910, 0.825, 0.852, 178.995
960, 0.829, 0.867, 181.724
1010, 0.905, 0.934, 195.805
1060, 0.987, 1.017, 212.606
1110, 1.092, 1.134, 238.367
1160, 1.267, 1.303, 272.371
1210, 1.276, 1.312, 271.200
1260, 1.348, 1.381, 283.120
1310, 1.517, 1.554, 318.211
1360, 1.704, 1.748, 356.994
1410, 1.694, 1.733, 351.696
1460, 1.859, 1.909, 389.917
1510, 1.962, 2.009, 407.721
1560, 2.026, 2.076, 422.016
1610, 2.335, 2.391, 488.974
1660, 2.294, 2.339, 473.283
1710, 2.559, 2.608, 529.996
1760, 2.589, 2.635, 532.478
1810, 2.923, 2.983, 603.115
1860, 2.857, 2.905, 583.581
1910, 3.227, 3.287, 663.617
1960, 3.213, 3.270, 658.197
