Using architecture: Tcp persistent thread/client with 20 messages per client
M = 10
N = 400
Delta, Sorting Time, Request Time, Client Runtime
0, 0.359, 0.383, 1686.470
2, 0.326, 0.349, 1683.298
4, 0.315, 0.346, 1759.215
6, 0.352, 0.378, 1761.922
8, 0.355, 0.383, 1829.799
10, 0.346, 0.370, 1839.940
12, 0.312, 0.335, 1911.336
14, 0.389, 0.415, 1902.629
16, 0.314, 0.344, 1986.360
18, 0.350, 0.373, 1990.111
20, 0.355, 0.379, 2061.151
22, 0.371, 0.394, 2059.087
24, 0.350, 0.374, 2135.351
26, 0.330, 0.354, 2139.545
28, 0.324, 0.349, 2213.809
30, 0.379, 0.404, 2214.453
32, 0.346, 0.370, 2291.159
34, 0.339, 0.362, 2290.067
36, 0.341, 0.365, 2362.126
38, 0.292, 0.321, 2332.054
40, 0.318, 0.342, 1602.400
42, 0.339, 0.363, 1621.026
44, 0.287, 0.309, 1742.664
46, 0.350, 0.375, 1791.806
48, 0.301, 0.324, 1815.763
50, 0.342, 0.368, 1837.675
