Using architecture: Tcp persistent thread/client with 20 messages per client
N = 500
Delta = 2
M, Sorting Time, Request Time, Client Runtime
5, 0.483, 0.514, 1684.864
7, 0.511, 0.544, 1682.405
9, 0.536, 0.569, 1683.950
11, 0.488, 0.521, 1686.167
13, 0.547, 0.583, 1685.054
15, 0.531, 0.564, 1683.098
17, 0.583, 0.620, 1683.144
19, 0.525, 0.559, 1690.576
21, 0.561, 0.596, 1683.363
23, 0.517, 0.557, 1692.489
25, 0.501, 0.531, 1699.047
27, 0.506, 0.540, 1693.127
29, 0.477, 0.504, 1690.829
31, 0.495, 0.540, 1705.794
33, 0.532, 0.563, 1690.418
35, 0.520, 0.551, 1702.660
37, 0.540, 0.575, 1695.280
39, 0.551, 0.583, 1690.461
41, 0.554, 0.586, 1691.324
43, 0.509, 0.544, 1700.376
45, 0.517, 0.554, 1703.133
47, 0.522, 0.564, 1702.350
49, 0.511, 0.544, 1699.313
