Using architecture: Tcp persistent thread/client with 20 messages per client
M = 10
Delta = 2
N, Sorting Time, Request Time, Client Runtime
10, 0.001, 0.003, 1686.383
60, 0.011, 0.018, 1679.788
110, 0.032, 0.042, 1680.788
160, 0.055, 0.067, 1689.375
210, 0.099, 0.116, 1678.912
260, 0.156, 0.175, 1683.855
310, 0.199, 0.220, 1685.657
360, 0.295, 0.334, 1684.195
410, 0.338, 0.364, 1682.334
460, 0.456, 0.486, 1683.931
510, 0.563, 0.595, 1684.304
560, 0.633, 0.669, 1683.608
610, 0.692, 0.740, 1683.705
660, 0.811, 0.849, 1686.470
710, 1.021, 1.064, 1688.404
760, 1.095, 1.143, 1683.641
810, 1.080, 1.125, 1693.579
860, 1.390, 1.439, 1685.843
910, 1.468, 1.517, 1687.022
960, 1.564, 1.732, 1689.388
1010, 1.718, 1.769, 1687.049
1060, 1.893, 1.956, 1688.326
1110, 1.980, 2.063, 1693.516
1160, 2.121, 2.173, 1698.123
1210, 2.187, 2.261, 1696.906
1260, 2.283, 2.355, 1697.308
1310, 2.270, 2.335, 1691.651
1360, 2.870, 2.930, 1711.874
1410, 2.917, 2.983, 1711.197
1460, 3.565, 3.637, 1744.380
1510, 3.814, 3.884, 1745.125
1560, 3.343, 3.414, 1721.485
1610, 3.576, 3.664, 1725.623
1660, 4.120, 4.192, 1744.624
1710, 4.024, 4.115, 1733.131
1760, 3.777, 3.847, 1713.284
1810, 4.442, 4.533, 1735.556
1860, 5.461, 5.590, 1778.613
1910, 4.851, 4.934, 1748.527
1960, 5.622, 5.727, 1771.400
