Using architecture: Udp thread pool with 20 messages per client
M = 10
N = 400
Delta, Sorting Time, Request Time, Client Runtime
0, 0.297, 0.319, 30.593
2, 0.265, 0.286, 51.968
4, 0.269, 0.290, 88.709
6, 0.276, 0.297, 126.963
8, 0.237, 0.263, 166.655
10, 0.268, 0.288, 207.200
12, 0.302, 0.325, 243.219
14, 0.305, 0.327, 281.933
16, 0.282, 0.302, 317.762
18, 0.291, 0.313, 356.966
20, 0.270, 0.291, 392.340
22, 0.280, 0.300, 431.953
24, 0.313, 0.336, 470.833
26, 0.302, 0.327, 509.587
28, 0.278, 0.300, 544.319
30, 0.292, 0.314, 584.366
32, 0.305, 0.327, 622.512
34, 0.310, 0.332, 662.453
36, 0.285, 0.307, 696.541
38, 0.284, 0.306, 736.891
40, 0.290, 0.314, 773.818
42, 0.297, 0.319, 812.263
44, 0.276, 0.297, 849.386
46, 0.288, 0.310, 888.576
48, 0.267, 0.287, 925.409
50, 0.293, 0.315, 964.497
