Using architecture: Udp thread pool with 20 messages per client
M = 10
Delta = 2
N, Sorting Time, Request Time, Client Runtime
10, 0.001, 0.003, 45.410
60, 0.010, 0.015, 48.044
110, 0.061, 0.072, 64.491
160, 0.049, 0.058, 55.845
210, 0.081, 0.095, 57.627
260, 0.125, 0.141, 64.160
310, 0.194, 0.213, 70.760
360, 0.203, 0.222, 56.829
410, 0.271, 0.292, 61.985
460, 0.352, 0.380, 70.587
510, 0.420, 0.447, 73.112
560, 0.414, 0.441, 69.450
610, 0.612, 0.653, 73.254
660, 0.707, 0.741, 80.566
710, 0.821, 0.859, 91.615
760, 0.858, 0.895, 93.856
810, 1.102, 1.160, 102.624
860, 1.458, 1.502, 123.619
910, 1.962, 2.059, 128.491
960, 2.096, 2.153, 175.090
1010, 2.767, 2.852, 193.564
1060, 2.688, 2.744, 169.662
1110, 3.382, 3.461, 192.956
1160, 4.827, 4.892, 239.932
1210, 3.124, 3.187, 167.244
1260, 3.887, 3.983, 191.540
1310, 3.370, 3.447, 191.165
1360, 4.422, 4.494, 218.017
1410, 5.547, 5.663, 278.051
1460, 4.574, 4.654, 237.441
1510, 5.384, 5.534, 241.789
1560, 6.623, 6.705, 264.512
1610, 7.236, 7.324, 335.467
1660, 7.334, 7.428, 293.482
1710, 7.988, 8.234, 304.027
1760, 7.218, 7.299, 332.011
1810, 8.686, 8.793, 382.760
1860, 8.000, 8.087, 371.906
1910, 9.812, 9.918, 384.756
1960, 11.140, 11.351, 434.681
