Using architecture: Udp thread pool with 20 messages per client
M = 10
Delta = 2
N, Sorting Time, Request Time, Client Runtime
10, 0.001, 0.015, 72.717
60, 0.013, 0.021, 84.517
110, 0.029, 0.036, 65.256
160, 0.051, 0.060, 44.671
210, 0.082, 0.094, 53.724
260, 0.127, 0.143, 51.203
310, 0.166, 0.182, 52.444
360, 0.204, 0.221, 66.626
410, 0.259, 0.278, 65.618
460, 0.319, 0.339, 65.092
510, 0.382, 0.411, 61.424
560, 0.458, 0.484, 67.395
610, 0.609, 0.643, 72.741
660, 0.674, 0.704, 83.324
710, 1.112, 1.145, 93.433
760, 1.041, 1.101, 105.664
810, 1.661, 1.698, 120.949
860, 1.322, 1.362, 112.097
910, 1.675, 1.738, 119.629
960, 1.634, 1.679, 123.335
1010, 2.529, 2.599, 164.054
1060, 2.270, 2.324, 140.056
1110, 2.982, 3.087, 163.383
1160, 3.653, 3.709, 182.426
1210, 3.398, 3.487, 176.437
1260, 3.473, 3.567, 192.204
1310, 3.752, 3.940, 189.647
1360, 4.505, 4.622, 226.000
1410, 5.041, 5.111, 248.423
1460, 5.786, 5.900, 252.518
1510, 5.036, 5.118, 253.528
1560, 6.114, 6.265, 264.069
1610, 5.942, 6.095, 306.743
1660, 7.453, 7.531, 302.510
1710, 9.021, 9.187, 318.369
1760, 8.741, 8.838, 322.955
1810, 8.022, 8.138, 386.967
1860, 9.013, 9.096, 369.262
1910, 9.711, 9.864, 396.929
1960, 11.377, 11.537, 395.604
