Using architecture: Udp thread/request with 20 messages per client
M = 10
N = 400
Delta, Sorting Time, Request Time, Client Runtime
0, 0.296, 0.324, 42.251
2, 0.281, 0.312, 64.871
4, 0.304, 0.334, 98.994
6, 0.286, 0.311, 129.956
8, 0.281, 0.304, 168.418
10, 0.298, 0.325, 205.572
12, 0.291, 0.314, 243.265
14, 0.303, 0.327, 281.656
16, 0.326, 0.361, 323.343
18, 0.332, 0.358, 360.047
20, 0.319, 0.359, 396.676
22, 0.325, 0.352, 435.714
24, 0.329, 0.365, 474.412
26, 0.309, 0.337, 511.563
28, 0.310, 0.342, 549.790
30, 0.309, 0.337, 587.197
32, 0.338, 0.372, 626.573
34, 0.340, 0.370, 664.957
36, 0.353, 0.383, 705.236
38, 0.309, 0.353, 741.001
40, 0.334, 0.371, 777.362
42, 0.313, 0.345, 815.007
44, 0.349, 0.393, 856.780
46, 0.295, 0.327, 891.089
48, 0.322, 0.355, 930.121
50, 0.354, 0.380, 970.870
