Using architecture: Udp thread/request with 20 messages per client
N = 500
Delta = 2
M, Sorting Time, Request Time, Client Runtime
5, 0.442, 0.469, 55.950
7, 0.470, 0.499, 66.920
9, 0.596, 0.642, 108.749
11, 0.503, 0.533, 110.266
13, 0.467, 0.502, 68.851
15, 0.421, 0.448, 84.224
17, 0.464, 0.502, 101.307
19, 0.422, 0.449, 105.561
21, 0.410, 0.493, 124.411
23, 0.425, 0.473, 144.398
25, 0.376, 0.427, 155.252
27, 0.409, 0.452, 181.320
29, 0.457, 0.487, 194.008
31, 0.440, 0.473, 184.089
33, 0.405, 0.450, 213.543
35, 0.436, 0.485, 222.060
37, 0.470, 0.590, 191.377
39, 0.494, 0.595, 270.509
41, NaN, NaN, NaN
43, NaN, NaN, NaN
45, NaN, NaN, NaN
47, NaN, NaN, NaN
49, NaN, NaN, NaN
