Using architecture: Udp thread/request with 20 messages per client
M = 10
Delta = 2
N, Sorting Time, Request Time, Client Runtime
10, 0.011, 0.881, 165.610
60, 0.063, 0.447, 140.669
110, 0.026, 0.117, 85.099
160, 0.090, 0.268, 112.708
210, 0.097, 0.154, 66.574
260, 0.136, 0.174, 66.988
310, 0.178, 0.251, 64.836
360, 0.255, 0.330, 73.067
410, 0.316, 0.347, 70.731
460, 0.335, 0.367, 55.190
510, 0.475, 0.530, 79.074
560, 0.586, 0.678, 109.014
610, 0.692, 0.828, 88.056
660, 0.937, 1.014, 104.477
710, 0.896, 1.008, 116.603
760, 1.099, 1.322, 135.832
810, 1.205, 1.285, 110.174
860, 1.414, 1.515, 122.644
910, 1.530, 1.670, 132.439
960, 1.813, 1.959, 165.167
1010, 1.953, 2.427, 207.196
1060, 2.050, 2.308, 166.755
1110, 2.247, 2.328, 169.215
1160, 2.331, 2.629, 190.816
1210, 2.682, 2.900, 207.349
1260, 2.881, 3.149, 259.128
1310, 3.092, 3.261, 231.848
1360, 3.255, 3.357, 270.966
1410, 3.444, 3.669, 271.517
1460, 3.886, 4.194, 302.172
1510, 4.029, 4.355, 299.015
1560, 4.319, 4.730, 321.586
1610, 4.563, 4.727, 341.074
1660, 4.857, 5.351, 379.288
1710, 5.129, 5.542, 352.129
1760, 5.680, 6.079, 364.606
1810, 6.215, 6.503, 419.450
1860, 6.194, 6.712, 390.753
1910, 6.933, 7.486, 423.410
1960, 7.336, 7.576, 443.851
